ZipCode,MedianIncome,MarginOfError
02717,112308,25820
02718,89796,8998
02719,79432,10864
02720,56843,2894
02721,47963,3529
02723,43142,9693
02724,43511,4260
02725,118176,21916
02726,95307,8165
02738,106354,19578
02739,101487,23964
02740,47206,4558
02743,78471,6339
02744,48009,4488
02745,63623,2783
02746,37565,4210
02747,90048,8824
02748,101782,11171
02760,97884,6263
02762,96932,7562
02763,98224,15919
02764,101226,30448
02766,109375,11296
02767,100425,15115
02769,115156,17347
02770,110959,11366
02771,100041,7596
02777,101703,12266
02779,110518,29440
02780,63524,3693
02790,85470,8217
02791,90543,46373
02802,105694,59777
02804,111014,32883
02806,130455,11861
02807,72279,22908
02808,67480,23975
02809,80727,7606
02812,111279,26305
02813,86023,10947
02814,93060,11460
02815,,
02816,86981,7147
02817,126402,16280
02818,109796,8063
02822,84018,26516
02823,,
02824,,
02825,97651,6477
02826,68471,14010
02827,90192,14746
02828,82414,10372
02829,,
02830,107033,17231
02831,121250,26009
02832,96951,15046
02833,33547,26064
02835,120129,27234
02836,,
02837,96111,25993
02838,59883,12834
02839,78477,19941
02840,77042,7053
02841,,
02842,88211,4497
02852,96100,8053
02857,104617,16364
02858,111250,108608
02859,103218,13125
02860,49357,4185
02861,73285,4928
02863,40235,7524
02864,104975,9128
02865,103934,6417
02871,104677,13300
02872,,
02873,,
02874,124471,12540
02875,87800,27109
02876,30513,18018
02878,85522,7231
02879,102397,8926
02881,72466,47541
02882,83502,4899
02885,75755,10533
02886,75404,4684
02888,78269,7300
02889,79274,5834
02891,82331,7757
02892,118542,27851
02893,62649,5623
02894,71813,23485
02895,48882,4148
02896,95595,12914
02898,86122,13796
02903,50966,11621
02904,56139,6318
02905,45594,9653
02906,93341,7610
02907,39522,4165
02908,63775,4137
02909,52232,6638
02910,77951,7139
02911,69306,4379
02912,,
02914,51513,6400
02915,76385,7964
02916,85025,11519
02917,92440,16495
02918,,
02919,76592,7860
02920,68794,6471
02921,112767,11675
03031,142083,12848
03032,127330,13589
03033,150893,8194
03034,106868,10085
03036,131635,21929
03037,111833,16593
03038,84819,6795
03042,88671,10966
03043,99185,14763
03044,116944,12812
03045,100751,7951
03046,136548,18803
03047,89179,8249
03048,80761,9819
03049,144514,7997
03051,112285,8941
03052,122139,22450
03053,116996,8561
03054,114562,4757
03055,82990,11923
03057,134356,14932
03060,58434,5270
03062,95279,7804
03063,93876,5126
03064,69637,12969
03070,122292,27587
03071,81958,6683
03076,111333,8014
03077,82521,8007
03079,91276,5535
03082,94000,15196
03084,88056,24307
03086,83477,14060
03087,167641,8446
03101,58802,20028
03102,60103,2950
03103,61743,3217
03104,73574,5628
03106,88638,9187
03109,87540,11052
03110,143119,14236
03215,83281,20785
03216,81333,12916
03217,48509,12909
03218,81335,24120
03220,67697,25936
03221,88000,17718
03222,70000,6850
03223,73919,25313
03224,102750,15613
03225,75202,15889
03226,91071,13527
03227,127813,62596
03229,100665,11847
03230,60268,16572
03231,90804,44705
03233,116034,25166
03234,96607,13018
03235,61678,4876
03237,84199,18385
03238,39250,15898
03240,70625,12653
03241,81607,12363
03242,79500,27277
03243,77019,12135
03244,84861,13497
03245,78304,26456
03246,63812,6232
03249,102358,12952
03251,58917,12972
03253,61359,15154
03254,82526,8736
03255,102273,13243
03256,74509,6549
03257,81984,20100
03258,110291,14934
03259,71616,6437
03260,110089,50656
03261,104653,27509
03262,62750,24820
03263,58036,10298
03264,68984,14690
03266,57361,12547
03268,79519,21475
03269,75833,27092
03273,160379,40770
03275,82907,6005
03276,61664,3093
03278,74792,17514
03279,48563,5680
03280,78542,17225
03281,101773,12607
03282,79375,24865
03284,98542,22347
03285,72973,8181
03287,104241,12764
03290,95655,10433
03291,,
03293,53333,28417
03301,72594,4269
03303,79599,4784
03304,132774,6548
03307,64836,18779
03431,62938,5973
03440,75536,24494
03441,37188,25445
03442,67863,5288
03443,70156,35585
03444,88467,6826
03445,84107,17486
03446,74598,17428
03447,77727,20109
03448,66875,8928
03449,75313,12316
03450,85956,7604
03451,65921,10273
03452,68222,10684
03455,75313,26319
03456,90568,25519
03457,89583,18434
03458,101063,18135
03461,84861,9084
03462,98099,47241
03464,83281,10528
03465,54375,12402
03466,99673,16345
03467,96250,18300
03470,66200,8709
03561,45141,5424
03570,39479,5437
03574,68125,17417
03575,,
03576,47288,3130
03579,55625,14098
03580,74821,18044
03581,60082,11699
03582,46302,6738
03583,58617,2890
03584,63060,5813
03585,63278,5458
03586,113438,24106
03588,66705,9718
03590,45625,4209
03592,53750,13757
03593,82750,16717
03595,67000,12627
03597,45469,6343
03598,57250,5907
03601,70938,9806
03602,61964,13821
03603,48657,16813
03604,,
03605,77813,13661
03607,73438,18951
03608,70096,12537
03609,90833,35275
03740,60813,7648
03741,78250,12530
03743,46731,3131
03745,78894,2640
03748,92113,19172
03750,174875,62181
03751,36410,9038
03752,56607,11682
03753,147219,38995
03755,143990,19300
03765,70798,5290
03766,85094,7872
03768,125156,18005
03770,139044,11116
03771,74063,9397
03773,67649,9227
03774,45547,20614
03777,81875,12016
03779,75625,20790
03780,,
03781,98300,17820
03782,97011,9347
03784,66934,18536
03785,49387,8282
03801,92576,6677
03809,87201,18058
03810,108288,28428
03811,123257,17728
03812,36394,14399
03813,55218,7052
03814,60268,19389
03816,68207,11970
03817,52072,37082
03818,66029,14341
03819,95869,17077
03820,82464,4952
03823,144191,26739
03824,87396,16774
03825,102512,16427
03826,97500,40219
03827,113750,15971
03830,58056,14041
03832,68750,11328
03833,96120,6024
03835,60322,10591
03836,70875,13328
03837,98611,24471
03838,83607,44404
03839,78417,15809
03840,124695,17260
03841,105078,15458
03842,87554,7529
03844,140625,7038
03845,58209,25714
03846,69886,28188
03847,85844,44524
03848,82017,31608
03849,84759,13365
03850,,
03851,81310,20039
03852,,
03853,84323,29698
03854,150875,53950
03855,89150,12905
03856,174044,12410
03857,83070,7568
03858,135863,11581
03860,60208,27418
03861,88750,22652
03862,120808,11547
03864,61993,7914
03865,90508,9684
03867,70861,3386
03868,61667,9444
03869,74092,3022
03870,115815,49940
03871,,
03872,94000,20544
03873,116048,25299
03874,79072,8530
03875,85109,24805
03878,68909,8828
03882,75179,12158
03883,,
03884,120453,16853
03885,130923,30114
03886,55841,12869
03887,74338,12358
03890,,
03894,67699,16505
03897,"250000",
03901,75541,16839
03902,97250,92456
03903,84768,12787
03904,66517,10580
03905,120583,19920
03906,82829,20523
03907,80673,25074
03908,90446,7671
03909,102335,12166
03910,,
03911,,
04001,68073,18872
04002,59132,13134
04003,,
04005,60276,3999
04006,"250000",
04008,85556,27244
04009,72332,18508
04010,53031,4613
04011,67488,7399
04015,56731,17646
04017,54375,28078
04019,98359,25268
04020,61099,2292
04021,120938,17684
04022,66146,10835
04024,59760,13657
04027,92117,21996
04029,57037,10451
04030,93274,58606
04032,86870,5954
04037,51500,15331
04038,90446,13678
04039,88917,13838
04040,50476,6171
04041,47734,10540
04042,82500,13149
04043,88865,5257
04046,86642,8937
04047,62228,13797
04048,77537,13826
04049,71529,6395
04050,73750,43743
04051,63125,33596
04055,61442,8808
04056,44625,33821
04057,,
04061,81094,15597
04062,87162,6518
04063,53219,24731
04064,56408,10173
04066,111435,57882
04068,43981,7067
04069,94531,10116
04071,79077,19618
04072,72700,7680
